"Sample_number" "Speaker" "Vowel" "Context" "F*1" "F*2" "F*1 gl" "F*2 gl"
"122" 3 "e" NA 422.921 1838.776 NA NA
"123" 3 "o" NA 347.868 1312.937 NA NA
"124" 3 "e" NA 343.177 1423.575 NA NA
"125" 3 "e" NA 416.382 1855.434 NA NA
"126" 3 "o" NA 407.925 1270.671 NA NA
"127" 3 "o" NA 373.241 1404.431 NA NA
"128" 3 "e" NA 481.059 1874.578 NA NA
"129" 3 "o" NA 397.619 1166.498 NA NA
"130" 3 "o" NA 383.547 1222.19 NA NA
"131" 3 "e" NA 425.764 1630.927 NA NA
"132" 3 "e" NA 526.119 1918.087 NA NA
"133" 3 "e" NA 317.875 1744.051 NA NA
"134" 3 "e" NA 454.833 1833.804 NA NA
"135" 3 "o" NA 512.971 1515.068 NA NA
"136" 3 "e" NA 484.826 1558.578 NA NA
"137" 3 "e" NA 489.517 1506.118 NA NA
"138" 3 "e" NA 391.009 1635.402 NA NA
"139" 3 "o" NA 512.047 1360.176 NA NA
"140" 3 "e" NA 512.971 1628.441 NA NA
"141" 3 "e" NA 481.983 1651.314 NA NA
"142" 3 "e" NA 336.638 1615.015 NA NA
"143" 3 "e" NA 461.372 1806.953 NA NA
"144" 4 "e" NA 383.831 1535.704 NA NA
"145" 4 "e" NA 479.78 1606.562 NA NA
"146" 4 "e" NA 457.321 1531.478 NA NA
"147" 4 "e" NA 479.78 1539.931 NA NA
"148" 4 "o" NA 498.117 1388.768 NA NA
"149" 4 "e" NA 344.03 1418.354 NA NA
"150" 4 "o" NA 382.836 1031.495 NA NA
"151" 4 "e" NA 358.316 1945.187 NA NA
"152" 4 "e" NA 499.183 1758.72 NA NA
"153" 4 "e" NA 373.596 1467.333 NA NA
"154" 4 "e" NA 492.004 1635.402 NA NA
"155" 4 "e" NA 396.055 1755.239 NA NA
"156" 4 "e" NA 351.208 1715.459 NA NA
"157" 4 "e" NA 394.065 1759.465 NA NA
"158" 4 "o" NA 382.836 1225.67 NA NA
"159" 4 "e" NA 363.433 1713.967 NA NA
"160" 4 "o" NA 366.489 1229.897 NA NA
"161" 4 "e" NA 356.254 1712.973 NA NA
"162" 4 "o" NA 449.147 1264.704 NA NA
"163" 4 "o" NA 503.234 1189.371 NA NA
"164" 4 "o" NA 373.596 850 NA NA
"165" 4 "e" NA 371.606 1889.496 NA NA
"166" 4 "e" NA 310.341 1793.278 NA NA
"167" 4 "o" NA 395.06 1946.182 NA NA
"168" 4 "e" NA 328.749 1569.517 NA NA
"169" 4 "e" NA 308.351 1878.556 NA NA
"170" 4 "e" NA 345.025 1928.281 NA NA
"171" 4 "o" NA 425.693 1175.946 NA NA
"172" 4 "e" NA 340.974 1570.263 NA NA
"173" 4 "e" NA 476.724 1892.976 NA NA
"174" 4 "e" NA 378.714 1565.29 NA NA
"175" 4 "e" NA 263.433 1976.514 NA NA
"176" 4 "e" NA 356.254 1666.48 NA NA
"177" 4 "e" NA 443.035 1616.755 NA NA
"178" 4 "o" NA 511.407 1450.426 NA NA
"179" 4 "e" NA 495.06 1640.375 NA NA
"180" 4 "o" NA 527.754 1451.172 NA NA
"181" 4 "e" NA 348.152 1642.861 NA NA
"182" 4 "e" NA 337.918 1818.638 NA NA
"183" 4 "e" NA 359.311 1627.695 NA NA
"184" 4 "o" NA 429.744 1341.529 NA NA
"185" 4 "e" NA 505.295 1580.456 NA NA
"186" 4 "e" NA 443.035 1746.786 NA NA
"187" 4 "e" NA 331.805 1457.139 NA NA
"188" 4 "o" NA 544.03 1204.786 NA NA
"189" 4 "o" NA 385.892 1432.774 NA NA
"190" 4 "e" NA 513.468 1549.13 NA NA
"191" 4 "e" NA 430.81 1741.813 NA NA
"192" 4 "e" NA 536.923 1577.97 NA NA
"193" 4 "o" NA 506.29 1145.614 NA NA
"194" 4 "e" NA 522.637 1507.858 NA NA
"195" 4 "o" NA 465.494 1195.338 NA NA
"196" 4 "e" NA 332.8 1743.305 NA NA
"197" 4 "e" NA 328.749 1795.765 NA NA
"198" 4 "e" NA 330.739 1619.242 NA NA
"199" 4 "e" NA 477.719 1676.674 NA NA
"200" 4 "e" NA 436.923 1795.019 NA NA
"201" 4 "e" NA 429.744 1861.65 NA NA
"202" 5 "e" NA 372.246 1516.311 NA NA
"203" 5 "e" NA 440.263 1723.166 NA NA
"204" 5 "e" NA 395.7 1670.21 NA NA
"205" 5 "e" NA 446.162 1574.738 NA NA
"206" 5 "e" NA 439.126 1548.384 NA NA
"207" 5 "e" NA 358.173 1932.508 NA NA
"208" 5 "e" NA 315.956 1117.022 NA NA
"209" 5 "e" NA 418.017 1405.674 NA NA
"210" 5 "e" NA 493.07 1779.355 NA NA
"211" 5 "e" NA 450.853 1753.747 NA NA
"212" 5 "e" NA 514.179 1695.818 NA NA
"213" 5 "e" NA 416.809 1811.428 NA NA
"214" 5 "e" NA 437.918 1702.282 NA NA
"215" 5 "o" NA 303.021 1007.13 NA NA
"216" 5 "o" NA 387.527 1438.492 NA NA
"217" 5 "o" NA 418.017 1282.108 NA NA
"218" 5 "o" NA 443.817 1201.305 NA NA
"219" 5 "o" NA 391.009 1491.449 NA NA
"220" 5 "o" NA 392.217 1230.146 NA NA
"221" 5 "o" NA 437.918 1172.465 NA NA
"222" 5 "o" NA 419.154 1237.356 NA NA
"223" 5 "e" NA 356.965 1847.478 NA NA
"224" 5 "e" NA 327.683 1860.407 NA NA
"225" 5 "o" NA 470.824 1274.152 NA NA
"226" 5 "e" NA 331.166 1783.333 NA NA
"227" 5 "o" NA 287.74 1440.233 NA NA
"228" 5 "e" NA 361.656 1853.942 NA NA
"229" 5 "o" NA 478.998 1191.609 NA NA
"230" 5 "e" NA 490.725 1567.528 NA NA
"231" 5 "e" NA 457.889 1611.037 NA NA
"232" 5 "e" NA 408.635 1737.587 NA NA
"233" 5 "o" NA 401.599 1518.052 NA NA
"234" 5 "e" NA 428.536 1724.907 NA NA
"235" 5 "e" NA 421.5 1926.043 NA NA
"236" 5 "e" NA 389.872 1497.167 NA NA
"237" 5 "e" NA 373.383 1987.702 NA NA
"238" 5 "o" NA 444.954 1265.45 NA NA
"239" 5 "e" NA 469.616 1501.145 NA NA
"240" 5 "e" NA 436.78 1658.276 NA NA
"241" 5 "e" NA 423.845 1691.094 NA NA
"242" 5 "e" NA 389.872 1705.514 NA NA
"243" 5 "e" NA 448.507 1937.231 NA NA
"244" 5 "e" NA 386.318 1512.334 NA NA
"245" 5 "e" NA 356.965 1783.333 NA NA
"246" 5 "e" NA 364.001 1810.682 NA NA
"247" 5 "e" NA 310.057 1890.739 NA NA
"248" 5 "e" NA 425.053 1521.035 NA NA
"249" 5 "o" NA 358.173 1251.03 NA NA
